gene.name	uniprot	MolecularFunctions	gene.score	in.AutismKB	in.DDG2P_16_7_2019	in.Table S5	in.denovo_rare(MAF<1%)	in.iPSYCH	in.SFARI	resource.count	in.signor	in.largest.comp	out.edge.in.largest.comp	in.edge.in.largest.comp	glob.out	glob.in
SLC6A15	Q9H2J7	"amino acid transmembrane transporter activity [GO:0015171]; branched-chain amino acid:sodium symporter activity [GO:0015657]; neurotransmitter transmembrane transporter activity [GO:0005326]; neutral amino acid:sodium symporter activity [GO:0005295]; proline:sodium symporter activity [GO:0005298]"		no	no	no	no	no	no	0	yes	no	NA	NA	0	1
CD276	Q5ZPR3	signaling receptor binding [GO:0005102]	3	no	no	no	no	no	yes	1	no	no	NA	NA	NA	NA
SMAD7	O15105	"activin binding [GO:0048185]; beta-catenin binding [GO:0008013]; collagen binding [GO:0005518]; I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; transcription regulator inhibitor activity [GO:0140416]; type I transforming growth factor beta receptor binding [GO:0034713]; ubiquitin protein ligase binding [GO:0031625]"		no	no	no	no	no	no	0	yes	yes	12	12	12	12
PSMD3	O43242	enzyme regulator activity [GO:0030234]		no	no	no	no	no	no	0	yes	yes	1	0	1	0
PIGS	Q96S52			no	yes	no	no	no	no	1	yes	yes	NA	NA	2	0
COL5A1	P20908	"extracellular matrix structural constituent [GO:0005201]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; heparin binding [GO:0008201]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]; platelet-derived growth factor binding [GO:0048407]; proteoglycan binding [GO:0043394]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
SEMA3F	Q13275	"chemorepellent activity [GO:0045499]; semaphorin receptor binding [GO:0030215]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
TRAPPC2L	Q9UL33		3	no	no	no	no	no	yes	1	no	no	NA	NA	NA	NA
TBXA2R	P21731	"guanyl-nucleotide exchange factor activity [GO:0005085]; thromboxane A2 receptor activity [GO:0004961]"		no	no	no	no	no	no	0	yes	yes	4	3	4	3
POMT2	Q9UKY4	"dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]; mannosyltransferase activity [GO:0000030]; metal ion binding [GO:0046872]"		no	yes	no	no	no	no	1	yes	yes	1	0	1	0
SIX4	Q9UIU6	"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]"		no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
WNT3A	P56704	"co-receptor binding [GO:0039706]; cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; identical protein binding [GO:0042802]; protein domain specific binding [GO:0019904]; receptor ligand activity [GO:0048018]; signaling receptor binding [GO:0005102]; transcription coactivator activity [GO:0003713]"		no	no	no	no	no	no	0	yes	yes	8	4	8	4
APOE	P02649	"amyloid-beta binding [GO:0001540]; antioxidant activity [GO:0016209]; cholesterol transfer activity [GO:0120020]; enzyme binding [GO:0019899]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; lipid transporter activity [GO:0005319]; lipoprotein particle binding [GO:0071813]; low-density lipoprotein particle receptor binding [GO:0050750]; metal chelating activity [GO:0046911]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]; tau protein binding [GO:0048156]; very-low-density lipoprotein particle receptor binding [GO:0070326]"		no	no	no	no	no	no	0	yes	yes	3	2	3	2
SSH2	Q76I76	"actin binding [GO:0003779]; myosin phosphatase activity [GO:0017018]; phosphoprotein phosphatase activity [GO:0004721]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
HIPK3	Q9H422	"ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
NOXO1	Q8NFA2	"enzyme binding [GO:0019899]; phosphatidylinositol binding [GO:0035091]; phospholipid binding [GO:0005543]; superoxide-generating NADPH oxidase activator activity [GO:0016176]"		no	no	no	no	no	no	0	yes	yes	1	2	1	2
SAV1	Q9H4B6	"beta-1 adrenergic receptor binding [GO:0031697]; identical protein binding [GO:0042802]; signaling receptor complex adaptor activity [GO:0030159]; SMAD binding [GO:0046332]; type II activin receptor binding [GO:0070699]"		no	no	no	no	no	no	0	yes	yes	3	3	3	3
ETFBKMT	Q8IXQ9	"heat shock protein binding [GO:0031072]; protein methyltransferase activity [GO:0008276]; protein-lysine N-methyltransferase activity [GO:0016279]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
GLIS3	Q8NEA6	"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"		no	yes	no	no	no	no	1	yes	yes	0	1	0	1
DUSP8	Q13202	"MAP kinase tyrosine/serine/threonine phosphatase activity [GO:0017017]; myosin phosphatase activity [GO:0017018]; phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/threonine phosphatase activity [GO:0008330]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
DOCK1	Q14185	"GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]; SH3 domain binding [GO:0017124]; small GTPase binding [GO:0031267]"	3	no	no	no	no	no	yes	1	yes	yes	1	3	1	3
ITK	Q08881	"ATP binding [GO:0005524]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]"		no	no	no	no	no	no	0	yes	yes	6	4	6	4
EGR2	P11161	"chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; HMG box domain binding [GO:0071837]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; SUMO ligase activity [GO:0061665]; transcription cis-regulatory region binding [GO:0000976]; ubiquitin protein ligase binding [GO:0031625]"		no	yes	no	no	no	no	1	yes	yes	1	1	1	1
FUT3	P21217	"3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity [GO:0017060]; 4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity [GO:0017083]; alpha-(1->3)-fucosyltransferase activity [GO:0046920]; fucosyltransferase activity [GO:0008417]"		no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
JDP2	Q8WYK2	"cAMP response element binding [GO:0035497]; chromatin binding [GO:0003682]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; leucine zipper domain binding [GO:0043522]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]"		no	no	no	no	no	no	0	yes	yes	2	1	2	1
NDUFA11	Q86Y39			no	no	no	no	no	no	0	yes	yes	1	0	1	0
SLC20A2	Q08357	"inorganic phosphate transmembrane transporter activity [GO:0005315]; signaling receptor activity [GO:0038023]; sodium:phosphate symporter activity [GO:0005436]; virus receptor activity [GO:0001618]"		no	no	no	no	no	no	0	yes	yes	NA	NA	1	0
VIPR1	P32241	"G protein-coupled peptide receptor activity [GO:0008528]; peptide hormone binding [GO:0017046]; vasoactive intestinal polypeptide receptor activity [GO:0004999]"		no	no	no	no	no	no	0	yes	no	NA	NA	0	2
DPF2	Q92785	"H3K9me3 modified histone binding [GO:0062072]; histone binding [GO:0042393]; lysine-acetylated histone binding [GO:0070577]; metal ion binding [GO:0046872]; transcription coregulator activity [GO:0003712]; transcription corepressor activity [GO:0003714]"		no	yes	no	no	no	no	1	yes	yes	5	0	5	0
CD274	Q9NZQ7			no	no	no	no	no	no	0	yes	yes	1	2	1	2
NOS1	P29475	"arginine binding [GO:0034618]; cadmium ion binding [GO:0046870]; calcium-dependent protein binding [GO:0048306]; calmodulin binding [GO:0005516]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; heme binding [GO:0020037]; NADP binding [GO:0050661]; nitric-oxide synthase activity [GO:0004517]; oxidoreductase activity [GO:0016491]; scaffold protein binding [GO:0097110]; sodium channel regulator activity [GO:0017080]; tetrahydrobiopterin binding [GO:0034617]; transmembrane transporter binding [GO:0044325]"		no	no	no	no	no	no	0	yes	yes	3	7	3	7
CISH	Q9NSE2	1-phosphatidylinositol-3-kinase regulator activity [GO:0046935]		no	no	no	no	no	no	0	yes	yes	0	1	0	1
CNOT6L	Q96LI5	"3'-5'-exoribonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; poly(A)-specific ribonuclease activity [GO:0004535]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
CAPZA1	P52907	"actin binding [GO:0003779]; actin filament binding [GO:0051015]; cadherin binding [GO:0045296]"		no	no	no	no	no	no	0	yes	yes	1	4	1	4
CDK5	Q00535	"acetylcholine receptor activator activity [GO:0030549]; ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; ephrin receptor binding [GO:0046875]; ErbB-2 class receptor binding [GO:0005176]; ErbB-3 class receptor binding [GO:0043125]; histone kinase activity [GO:0035173]; Hsp90 protein binding [GO:0051879]; kinase activity [GO:0016301]; p53 binding [GO:0002039]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]"		no	no	no	no	no	no	0	yes	yes	57	10	57	10
HPS6	Q86YV9	"GTP-dependent protein binding [GO:0030742]; small GTPase binding [GO:0031267]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
TGFB1I1	O43294	"I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; nuclear androgen receptor binding [GO:0050681]; Roundabout binding [GO:0048495]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
NIN	Q8N4C6	"calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; kinase binding [GO:0019900]; microtubule minus-end binding [GO:0051011]"		no	no	no	no	no	no	0	yes	yes	1	1	1	1
IRF8	Q02556	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]"		no	no	no	no	no	no	0	yes	yes	0	3	0	3
RARS2	Q5T160	"arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; RNA binding [GO:0003723]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
SPARC	P09486	"calcium ion binding [GO:0005509]; collagen binding [GO:0005518]; extracellular matrix binding [GO:0050840]"		no	yes	no	no	no	no	1	yes	yes	0	1	0	1
MAP4	P27816	"microtubule binding [GO:0008017]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
NPIPB9	F8W1W9			no	no	no	yes	no	no	1	no	no	NA	NA	NA	NA
KDELR1	P24390	"ER retention sequence binding [GO:0046923]; KDEL sequence binding [GO:0005046]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
RSPO1	Q2MKA7	"G protein-coupled receptor binding [GO:0001664]; heparin binding [GO:0008201]; signaling receptor binding [GO:0005102]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
DSTN	P60981	actin filament binding [GO:0051015]		no	no	no	no	no	no	0	yes	yes	0	1	0	1
FGD2	Q7Z6J4	"guanyl-nucleotide exchange factor activity [GO:0005085]; metal ion binding [GO:0046872]; phosphatidylinositol phosphate binding [GO:1901981]; small GTPase binding [GO:0031267]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
SLC36A2	Q495M3	"amino acid transmembrane transporter activity [GO:0015171]; amino acid:proton symporter activity [GO:0005280]; glycine transmembrane transporter activity [GO:0015187]; L-alanine transmembrane transporter activity [GO:0015180]; L-amino acid transmembrane transporter activity [GO:0015179]; L-proline transmembrane transporter activity [GO:0015193]; proline:proton symporter activity [GO:0005297]"		no	no	no	no	no	no	0	yes	yes	3	0	3	0
GATA4	P43694	"co-SMAD binding [GO:0070410]; DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; NFAT protein binding [GO:0051525]; protein kinase binding [GO:0019901]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]"		yes	yes	no	no	no	no	2	yes	yes	3	3	3	3
E2F4	Q16254	"DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; promoter-specific chromatin binding [GO:1990841]; protein dimerization activity [GO:0046983]; protein domain specific binding [GO:0019904]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]"		no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
BRSK2	Q8IWQ3	"ATP binding [GO:0005524]; ATPase binding [GO:0051117]; ATPase regulator activity [GO:0060590]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]"	1	no	no	no	no	no	yes	1	yes	yes	2	1	2	1
TM4SF19	Q96DZ7		3	no	no	no	no	no	yes	1	no	no	NA	NA	NA	NA
CDC14B	O60729	"myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]"		no	no	no	no	no	no	0	yes	yes	8	0	8	0
ATP5PB	P24539	proton transmembrane transporter activity [GO:0015078]		no	no	no	no	no	no	0	yes	yes	1	0	1	0
ZNF804A	Q7Z570	metal ion binding [GO:0046872]	2	yes	no	no	no	no	yes	2	yes	yes	8	0	8	0
IRF2BP2	Q7Z5L9	"metal ion binding [GO:0046872]; transcription corepressor activity [GO:0003714]"		no	no	no	no	no	no	0	yes	yes	1	1	1	1
TCL1B	O95988	"protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]"		no	no	no	no	no	no	0	yes	yes	3	0	3	0
BRSK1	Q8TDC3	"ATP binding [GO:0005524]; gamma-tubulin binding [GO:0043015]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]"		no	no	no	no	no	no	0	yes	yes	5	1	5	1
NRG2	O14511	"growth factor activity [GO:0008083]; signaling receptor binding [GO:0005102]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
ARHGAP35	Q9NRY4	"DNA binding [GO:0003677]; GTP binding [GO:0005525]; GTPase activating protein binding [GO:0032794]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; phospholipid binding [GO:0005543]; protein-containing complex binding [GO:0044877]"		no	no	no	no	no	no	0	yes	yes	2	3	2	3
POSTN	Q15063	"cell adhesion molecule binding [GO:0050839]; heparin binding [GO:0008201]; metal ion binding [GO:0046872]"		no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
EIF2AK1	Q9BQI3	"ATP binding [GO:0005524]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; heme binding [GO:0020037]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
SOST	Q9BQB4	"BMP binding [GO:0036122]; carbohydrate binding [GO:0030246]; DNA-binding transcription factor binding [GO:0140297]; heparin binding [GO:0008201]; molecular function inhibitor activity [GO:0140678]"		no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
GM2A	P17900	"beta-N-acetylhexosaminidase activity [GO:0004563]; lipid transporter activity [GO:0005319]; sphingolipid activator protein activity [GO:0030290]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
FBXO11	Q86XK2	"protein-arginine N-methyltransferase activity [GO:0016274]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]"	3	no	yes	no	no	no	yes	2	yes	yes	3	0	3	0
ADM	P35318	"adrenomedullin receptor binding [GO:0031700]; hormone activity [GO:0005179]; signaling receptor binding [GO:0005102]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
EREG	O14944	"epidermal growth factor receptor binding [GO:0005154]; growth factor activity [GO:0008083]; receptor ligand activity [GO:0048018]; transmembrane receptor protein tyrosine kinase activator activity [GO:0030297]"		no	no	no	no	no	no	0	yes	yes	4	1	4	1
ARHGAP6	O43182	"GTPase activator activity [GO:0005096]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; SH3 domain binding [GO:0017124]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
ST8SIA2	Q92186	"alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]; sialic acid binding [GO:0033691]"	2	no	no	no	no	no	yes	1	yes	no	NA	NA	0	1
MRPL35	Q9NZE8	structural constituent of ribosome [GO:0003735]		no	no	no	no	no	no	0	yes	yes	NA	NA	1	0
FAAH	O00519	"acylglycerol lipase activity [GO:0047372]; amidase activity [GO:0004040]; fatty acid amide hydrolase activity [GO:0017064]; identical protein binding [GO:0042802]; phospholipid binding [GO:0005543]"		no	no	no	no	no	no	0	yes	no	NA	NA	0	2
SMC3	Q9UQE7	"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; beta-tubulin binding [GO:0048487]; chromatin binding [GO:0003682]; cohesin loading activity [GO:0061775]; double-stranded DNA binding [GO:0003690]; dynein complex binding [GO:0070840]; mediator complex binding [GO:0036033]; microtubule motor activity [GO:0003777]; protein heterodimerization activity [GO:0046982]"	3	no	yes	no	yes	no	yes	3	yes	yes	6	3	6	3
GABRR1	P24046	"chloride channel activity [GO:0005254]; excitatory extracellular ligand-gated ion channel activity [GO:0005231]; GABA-A receptor activity [GO:0004890]; identical protein binding [GO:0042802]; ligand-gated ion channel activity involved in regulation of presynaptic membrane potential [GO:0099507]; neurotransmitter receptor activity [GO:0030594]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]"		no	no	no	no	no	no	0	yes	yes	0	4	0	4
ELOVL5	Q9NYP7	"fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
SELENOF	O60613	"oxidoreductase activity [GO:0016491]; selenium binding [GO:0008430]; thioredoxin peroxidase activity [GO:0008379]"		no	no	no	no	no	no	0	yes	no	NA	NA	1	0
SARM1	Q6SZW1	"identical protein binding [GO:0042802]; NAD(P)+ nucleosidase activity [GO:0050135]; NAD+ nucleosidase activity [GO:0003953]; NAD+ nucleotidase, cyclic ADP-ribose generating [GO:0061809]; signaling adaptor activity [GO:0035591]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
TRIM56	Q9BRZ2	"RNA binding [GO:0003723]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
APP	P05067	"acetylcholine receptor activator activity [GO:0030549]; acetylcholine receptor binding [GO:0033130]; amylin binding [GO:0097645]; apolipoprotein binding [GO:0034185]; chaperone binding [GO:0051087]; chemoattractant activity [GO:0042056]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; frizzled binding [GO:0005109]; G protein-coupled receptor binding [GO:0001664]; growth factor receptor binding [GO:0070851]; heparan sulfate binding [GO:1904399]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; insulin receptor binding [GO:0005158]; integrin binding [GO:0005178]; low-density lipoprotein particle receptor binding [GO:0050750]; peptidase activator activity [GO:0016504]; protein dimerization activity [GO:0046983]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; PTB domain binding [GO:0051425]; RAGE receptor binding [GO:0050786]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; serine-type endopeptidase inhibitor activity [GO:0004867]; signaling receptor activator activity [GO:0030546]; signaling receptor binding [GO:0005102]; transition metal ion binding [GO:0046914]"		no	no	no	no	no	no	0	yes	yes	1	17	1	17
CEP41	Q9BYV8		2	no	yes	no	no	no	yes	2	yes	yes	1	0	1	0
SNRPC	P09234	"mRNA binding [GO:0003729]; pre-mRNA 5'-splice site binding [GO:0030627]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
COL6A1	P12109	"collagen binding [GO:0005518]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; platelet-derived growth factor binding [GO:0048407]"		no	yes	no	no	no	no	1	yes	yes	1	0	1	0
IFT43	Q96FT9			no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
ROBO4	Q8WZ75	"cell-cell adhesion mediator activity [GO:0098632]; signaling receptor activity [GO:0038023]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
CPT1B	Q92523	carnitine O-palmitoyltransferase activity [GO:0004095]		no	no	no	no	no	no	0	yes	yes	4	1	4	1
AIM2	O14862	"double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
VEGFB	P49765	"chemoattractant activity [GO:0042056]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; vascular endothelial growth factor receptor 1 binding [GO:0043183]; vascular endothelial growth factor receptor binding [GO:0005172]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
SIGMAR1	Q99720	"G protein-coupled opioid receptor activity [GO:0004985]; identical protein binding [GO:0042802]"		no	no	no	no	no	no	0	yes	yes	0	5	0	5
RUVBL2	Q9Y230	"ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase binding [GO:0051117]; beta-catenin binding [GO:0008013]; chromatin DNA binding [GO:0031490]; DNA helicase activity [GO:0003678]; identical protein binding [GO:0042802]; promoter-enhancer loop anchoring activity [GO:0140585]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; TBP-class protein binding [GO:0017025]; TFIID-class transcription factor complex binding [GO:0001094]; transcription corepressor activity [GO:0003714]; unfolded protein binding [GO:0051082]"		no	no	no	no	no	no	0	yes	yes	4	0	4	0
DDC	P20711	"5-hydroxy-L-tryptophan decarboxylase activity [GO:0036467]; amino acid binding [GO:0016597]; aromatic-L-amino-acid decarboxylase activity [GO:0004058]; carboxy-lyase activity [GO:0016831]; enzyme binding [GO:0019899]; L-dopa decarboxylase activity [GO:0036468]; protein domain specific binding [GO:0019904]; pyridoxal phosphate binding [GO:0030170]"	3	no	yes	no	no	no	yes	2	yes	yes	6	0	6	0
BRPF1	P55201	"acetyltransferase activator activity [GO:0010698]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
NPC2	P61916	"cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; enzyme binding [GO:0019899]; sterol binding [GO:0032934]"		no	yes	no	no	no	no	1	yes	yes	NA	NA	NA	NA
HTR6	P50406	"G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]"		no	no	no	no	no	no	0	yes	yes	8	3	8	3
DNALI1	O14645	dynein heavy chain binding [GO:0045504]		no	no	no	no	no	no	0	yes	yes	0	1	0	1
TBC1D20	Q96BZ9	"GTPase activator activity [GO:0005096]; small GTPase binding [GO:0031267]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
POLR1E	Q9GZS1	"DNA binding [GO:0003677]; RNA polymerase I general transcription initiation factor binding [GO:0001179]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
DCTPP1	Q9H773	"dCTP diphosphatase activity [GO:0047840]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nucleoside triphosphate diphosphatase activity [GO:0047429]; pyrimidine deoxyribonucleotide binding [GO:0032556]"		no	no	no	no	no	no	0	yes	yes	NA	NA	1	1
MEOX2	P50222	"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]"		no	no	no	no	no	no	0	yes	yes	0	5	0	5
AURKB	Q96GD4	"ATP binding [GO:0005524]; histone serine kinase activity [GO:0035174]; kinase binding [GO:0019900]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]"		no	no	no	no	no	no	0	yes	yes	39	20	39	20
TTN	Q8WZ42	"actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of muscle [GO:0008307]; structural molecule activity conferring elasticity [GO:0097493]; telethonin binding [GO:0031433]"	3	yes	yes	no	yes	no	yes	4	yes	yes	2	1	2	1
